"hospital_name","district","nearest_nh","distance_meters"
"Radha Krishna Hospital","Chittorgarh","Ajmer Bhilwara Chittorgarh Ratlam Indore Road","3682.29"
"Radha Swami Clinic","Chittorgarh","Ajmer Bhilwara Chittorgarh Ratlam Indore Road","3428.51"
"Rajasthan Hospital","Chittorgarh","Ajmer Bhilwara Chittorgarh Ratlam Indore Road","3275.13"
"Sanjeevani Hospital, Chittorgarh","Chittorgarh","Ajmer Bhilwara Chittorgarh Ratlam Indore Road","4178.01"
"Sanjivani Clinic","Chittorgarh","Ajmer Bhilwara Chittorgarh Ratlam Indore Road","1204.91"
"Sarvarth Spine Clinic","Chittorgarh","Nimbahera Pratapgarh Banswara Jalod Road Km 0/00 to 18/00","125.96"
"Sharma Hospital","Chittorgarh","Nimbahera Pratapgarh Banswara Jalod Road Km 0/00 to 18/00","51.23"
"Sharma Nursing Home","Chittorgarh","Ajmer Bhilwara Chittorgarh Ratlam Indore Road","31.35"
"Shree Homoeo Clinic and Research Centre","Chittorgarh","Ajmer Bhilwara Chittorgarh Ratlam Indore Road","4360.12"
"Shree Ram Eye Care and Opticals","Chittorgarh","Ajmer Bhilwara Chittorgarh Ratlam Indore Road","4473.05"
"Shree Sanwaliaji Government General Hospital","Chittorgarh","Ajmer Bhilwara Chittorgarh Ratlam Indore Road","3305.36"
"Smile Dental Care","Chittorgarh","Ajmer Bhilwara Chittorgarh Ratlam Indore Road","4314.29"
"Sneh Hospital","Chittorgarh","Nimbahera Pratapgarh Banswara Jalod Road Km 0/00 to 18/00","417.77"
"Vaishnav Clinic & Path Lab","Chittorgarh","Nimbahera Pratapgarh Banswara Jalod Road Km 0/00 to 18/00","626.99"
"Vaswani Homeopathy Clinic","Chittorgarh","Nimbahera Pratapgarh Banswara Jalod Road Km 0/00 to 18/00","723.40"
"Zinc Hospital","Chittorgarh","Ajmer Bhilwara Chittorgarh Ratlam Indore Road","1775.30"
"Ambika Ayurvedic Clinic","Churu","Agara Bikaner Road","2294.82"
"Ayurvedic Clinic","Churu","Agara Bikaner Road","2502.97"
"Bajaj Clinic","Churu","Salasar to Nagour","442.39"
"Bajaj Eye Hospital","Churu","Ambala Pali Road Km 0 at Fatehpur","1316.45"
"Balaji Hospital","Churu","Ambala Pali Road Km 0 at Fatehpur","487.30"
"Bharat Hospital","Churu","Salasar to Nagour","23.49"
"Bhartiya Hospital Churu","Churu","Ambala Pali Road Km 0 at Fatehpur","421.56"
"Care Rathi Hospital","Churu","Salasar to Nagour","345.14"
"Choudhary Hospital","Churu","Ambala Pali Road Km 0 at Fatehpur","908.19"
"Churu Hospital","Churu","Ambala Pali Road Km 0 at Fatehpur","644.69"
"Churu MultiSpeciality Hospital and Research Centre","Churu","Ambala Pali Road Km 0 at Fatehpur","501.99"
"Dr. Anil Chawla","Churu","Ambala Pali Road Km 0 at Fatehpur","32.41"
"Dr. Arun Verma","Churu","Ambala Pali Road Km 0 at Fatehpur","550.01"
"Dr. C.L. Gahlot","Churu","Ambala Pali Road Km 0 at Fatehpur","19.24"
"Dr. Goyal","Churu","Agara Bikaner Road","1291.77"
"Dr. Jangid Hospital","Churu","Salasar to Nagour","88.34"
"Dr. Kapil Verma","Churu","Ambala Pali Road Km 0 at Fatehpur","420.38"
"Dr. M.L. Shyamsukha","Churu","Ambala Pali Road Km 0 at Fatehpur","457.72"
"Dr. Rajendra Sharma","Churu","Salasar to Nagour","1037.27"
"Dr. Ravi Agarwal","Churu","Ambala Pali Road Km 0 at Fatehpur","102.40"
"Dr. Sasi Kumar Clinic","Churu","Ambala Pali Road Km 0 at Fatehpur","221.05"
"Dr. Urmil Jain Hospital Pvt Ltd.","Churu","Rajgarh Pilani Road","529.78"
"Dr. V P Purohit","Churu","Agara Bikaner Road","1705.29"
"Dr. Yogesh Kumar Clinic","Churu","Agara Bikaner Road","2901.41"
"Gangaram Hospital","Churu","Agara Bikaner Road","1809.62"
"Goswami Medicare and Diagnostic Centre","Churu","Agara Bikaner Road","2464.02"
"Government Hospital Salasar","Churu","Salasar to Nagour","316.38"
"Government Hospital Sujangarh","Churu","Salasar to Nagour","755.07"
"Governmet Hospital Chandgothi","Churu","Rajgarh Pilani Road","52.80"
"Governmet Hospital Shobhasar","Churu","Fatehpur to Udaipur","1288.64"
"Govt. Hospital, Ratangarh","Churu","Agara Bikaner Road","1897.48"
"Goyal Hospital","Churu","Ambala Pali Road Km 0 at Fatehpur","439.77"
"H.N.Hospital","Churu","Ambala Pali Road Km 0 at Fatehpur","997.76"
"Heart Care & General Hospital","Churu","Ambala Pali Road Km 0 at Fatehpur","328.22"
"JMB Eye Hospital","Churu","Ambala Pali Road Km 0 at Fatehpur","1186.62"
"Kochar Clinic","Churu","Agara Bikaner Road","2280.92"
"Kulthia Clinic","Churu","Agara Bikaner Road","1718.34"
"Marwari Sahayak Samiti Hospital","Churu","Agara Bikaner Road","2527.53"
"MRM Choudhary Hospital and Research Center","Churu","Ambala Pali Road Km 0 at Fatehpur","993.20"
"Mumtaj Hospital","Churu","Ambala Pali Road Km 0 at Fatehpur","497.29"
"Ratangarh Physiotherapy Clinic","Churu","Agara Bikaner Road","1494.60"
"Ravindra Hospital","Churu","Ambala Pali Road Km 0 at Fatehpur","1266.87"
"Rohilla Nursing Home","Churu","Rajgarh Pilani Road","577.57"
"Sanjeewani Hospital","Churu","Ambala Pali Road Km 0 at Fatehpur","2092.62"
"Saxena Hospital, Sujangarh","Churu","Salasar to Nagour","956.55"
"Sheela Hospital","Churu","Ambala Pali Road Km 0 at Fatehpur","56.46"
"Shivam Hospital","Churu","Ambala Pali Road Km 0 at Fatehpur","1086.06"
"Smt Sheela Goyal Memorial Heart and General Hospital","Churu","Ambala Pali Road Km 0 at Fatehpur","283.73"
"Somra ENT Hospital","Churu","Ambala Pali Road Km 0 at Fatehpur","1136.22"
"Soni Nursing Home, Churu","Churu","Ambala Pali Road Km 0 at Fatehpur","207.97"
"Sub Tb Clinic, Db Hospital, Churu","Churu","Ambala Pali Road Km 0 at Fatehpur","545.17"
"Vinayak Dental Clinic & Opticals","Churu","Agara Bikaner Road","1877.44"
"Anand Hospital","Dausa","Kothoon Dholpur Via Lalsot Gangapur Karauli Road","50.02"
"Ayurved & Panchakarm Chikitsa Kendra","Dausa","Mahuwa to Nangal Sumer Singh","31.34"
"Bansal Hospital, Vikas Colony","Dausa","Dausa to Koothoon via Lalsot Road.","1827.00"
"City Hospital and Trauma Centre","Dausa","Mahuwa to Nangal Sumer Singh","63.95"
"Cowshed Mahwa","Dausa","Agra Bikaner Road","324.26"
"Dr. B S Saini","Dausa","Mahuwa to Nangal Sumer Singh","994.06"
"Dr. K S Sharma","Dausa","Agra Bikaner Road","1506.83"
"Dr. Kajodmal Meena Hospital","Dausa","Kothoon Dholpur Via Lalsot Gangapur Karauli Road","39.02"
"Dr. Kalyan Sahay Clinic","Dausa","Agra to Bikaner Road","30.13"
"Dr. Mittal","Dausa","Dausa to Koothoon via Lalsot Road.","1802.96"
"Dr. Murari Lal meena","Dausa","Mahuwa to Nangal Sumer Singh","1367.77"
"Dr. Pramod Jain","Dausa","Dausa Lalsot","42.12"
"Dr. Pritam Meena","Dausa","Mahuwa to Nangal Sumer Singh","2005.87"
"Dr. R.D. Meena","Dausa","Dausa to Koothoon via Lalsot Road.","1553.09"
"Dr. Suneet Upadhyaya","Dausa","Kothoon Dholpur Via Lalsot Gangapur Karauli Road","29.89"
"Durga Nursing Home","Dausa","Agra to Bikaner Road","1156.51"
"Geeta Devi Eye Hospital","Dausa","Kothoon Dholpur Via Lalsot Gangapur Karauli Road","92.12"
"Geeta Hospital","Dausa","Agra to Bikaner Road","874.15"
"Government Hospital Sainthal","Dausa","Dausa to Manoharpur Road.","4609.96"
"Government Hospital, Aluda","Dausa","Dausa to Koothoon via Lalsot Road.","4504.63"
"Government Hospital, Balaheri","Dausa","Agra Bikaner Road","4633.25"
"Governmet Hospital Sikandra","Dausa","AGRA BIKANER ROAD","1349.81"
"Goyal Hospital","Dausa","Mahuwa to Nangal Sumer Singh","77.60"
"Jagmohan Hospital","Dausa","Mahuwa to Nangal Sumer Singh","41.16"
"Jain Child and General Hospital","Dausa","Mahuwa to Nangal Sumer Singh","48.67"
"Jaipur Eye Hospital","Dausa","Agra to Bikaner Road","1305.41"
"Jaipur Nursing Home & Eye Hospital","Dausa","Mahuwa to Nangal Sumer Singh","58.25"
"Janata Dawakhana","Dausa","Mahuwa to Nangal Sumer Singh","1626.39"
"Kausha Maternity Home and Hospital","Dausa","Agra to Bikaner Road","1309.15"
"Kesar Devi Mahila Hospital","Dausa","Agra to Bikaner Road","662.49"
"Malhotra Hospital","Dausa","AGRA BIKANER ROAD","535.52"
"Mama Clinic","Dausa","AGRA BIKANER ROAD","370.36"
"Mukesh Kumar Sharma","Dausa","Dausa to Koothoon via Lalsot Road.","1386.79"
"Navjeevan Hospital, Dausa","Dausa","Kothoon Dholpur Via Lalsot Gangapur Karauli Road","118.92"
"Nisha Bone and Joint Hospital","Dausa","Agra to Bikaner Road","1284.80"
"Patanjali Arogya Kendra","Dausa","Agra to Bikaner Road","1413.38"
"Prakash Hospital","Dausa","Agra to Bikaner Road","71.03"
"Rajdhani Hospital and Maternity Home, Dausa","Dausa","Agra to Bikaner Road","962.84"
"Ram Nursing Home and Fracture Hospital","Dausa","Mahuwa to Nangal Sumer Singh","28.10"
"Rama Physio Clinic","Dausa","Agra to Bikaner Road","1329.83"
"Ray Nursing Home","Dausa","Agra to Bikaner Road","1313.64"
"Rohit Hospital Pvt Ltd","Dausa","Mahuwa to Nangal Sumer Singh","1826.36"
"Santosh Hospital","Dausa","Agra to Bikaner Road","2077.94"
"Shivaya Hospital","Dausa","Agra to Bikaner Road","28.70"
"Shri Krishna Hospital, Dausa","Dausa","Dausa to Koothoon via Lalsot Road.","540.73"
"Shri Ramkaran Joshi Government General Hospital","Dausa","Dausa to Koothoon via Lalsot Road.","1469.18"
"Shri Surya Hospital","Dausa","Kothoon Dholpur Via Lalsot Gangapur Karauli Road","126.10"
"Shubhi Pulse Hospital & Trauma Centre","Dausa","Agra to Bikaner Road","29.19"
"Shyama Devi Memorial Hospital","Dausa","Agra to Bikaner Road","1343.61"
"Tammen Hospital","Dausa","Mahuwa to Nangal Sumer Singh","1806.63"
"Vedansh Hospital","Dausa","Mahuwa to Nangal Sumer Singh","31.95"
"Vinayak Hospital","Dausa","Mahuwa to Nangal Sumer Singh","162.76"
"Vinayak Orthodentic Hospital","Dausa","Kothoon Dholpur Via Lalsot Gangapur Karauli Road","29.11"
"Well Cure Clinic","Dausa","Kothoon Dholpur Via Lalsot Gangapur Karauli Road","106.08"
"General Hospital, Bari","Dhaulpur","Dholpur Bari karauli road","476.56"
"Government Hospital, Chilachond","Dhaulpur","Dholpur Bari karauli road","122.36"
"Government Hospital, Dholpur","Dhaulpur","Agra Bombay road NH3","981.34"
"Government Hospital, Mania","Dhaulpur","Agra Bombay road NH3","46.18"
"Govt. Hospital, Baragaon","Dhaulpur","Rajakhera Dholpur Bari Sarmathura Road","55.69"
"Ayushman Hospital","Dholpur","Agra Bombay road NH3","399.25"
"Chauhan Clinic","Dholpur","Dholpur Bari karauli road","994.82"
"Dholpur Government Hospital","Dholpur","Agra Bombay road NH3","909.23"
"Dr. Akeshwar Yadav Pain and Spine Care Clinic","Dholpur","Agra Bombay road NH3","260.13"
"Dr. Anil Bansal Nursing Home","Dholpur","Agra Bombay road NH3","152.49"
"Dr. GD Raipuria Clinic","Dholpur","Agra Bombay road NH3","560.04"
"Dr. K.K. Agrawal Clinic","Dholpur","Agra Bombay road NH3","815.89"
"Dr. Nitin Maru Clinic","Dholpur","Agra Bombay road NH3","845.79"
"Dr. R.B Shrivastava","Dholpur","Agra Bombay road NH3","341.70"
"Dr. Rajesh Jadon Clinic","Dholpur","Agra Bombay road NH3","819.32"
"Dr. Ramgopal Sharma Clinic","Dholpur","Dholpur Bari karauli road","1163.35"
"Dr. Ramkesh Singh","Dholpur","Agra Bombay road NH3","187.68"
"Dr. Shivcharan Kushwah Hospital","Dholpur","Agra Bombay road NH3","368.00"
"Dr. Suresh Mangal","Dholpur","Dholpur Bari karauli road","524.53"
"Dr. Virendra Tyagi ENT Hospital","Dholpur","Agra Bombay road NH3","489.89"
"G.S.S.I Hospital","Dholpur","Dholpur Bari karauli road","524.69"
"Jain Nursing Home, Dholpur","Dholpur","Agra Bombay road NH3","931.35"
"Jaipur Hospital","Dholpur","Dholpur Bari karauli road","270.39"
"Kothari Clinic","Dholpur","Agra Bombay road NH3","798.73"
"L S Memorial School Of Nursing","Dholpur","Lalsot Gangpur karauli Sirmathura Dholpur","100.00"
"Mayuri Surgical Hospital","Dholpur","Agra Bombay road NH3","34.35"
"Narayan Hospital","Dholpur","Agra Bombay road NH3","143.26"
"Prathmesh ENT Clinic","Dholpur","Agra Bombay road NH3","103.11"
"Prathmesh Eye Hospital","Dholpur","Agra Bombay road NH3","327.97"
"Raman Hospital","Dholpur","Agra Bombay road NH3","812.43"
"Renu Hospital","Dholpur","Agra Bombay road NH3","728.79"
"Shri Ram Nursing Home, Dholpur","Dholpur","Agra Bombay road NH3","892.81"
"Vijay Hospital, Dholpur","Dholpur","Agra Bombay road NH3","205.44"
"Women District Hospital","Dholpur","Agra Bombay road NH3","998.51"
"Abhay Eye Clinic","Dungarpur","Ratalam Baswara Sagwara Dungarpur Kherwara Pindwara","131.25"
"Ayurveda Hospital","Dungarpur","Kherwara Dungarpur  Sagwara","802.83"
"Bhagoday Clinic","Dungarpur","Kherwara Dungarpur  Sagwara","23.46"
"Bhagwan Mahaveer Orthopaedic Hospital","Dungarpur","Ratalam Baswara Sagwara Dungarpur Kherwara Pindwara","443.43"
"BM Hospital","Dungarpur","Ratalam Baswara Sagwara Dungarpur Kherwara Pindwara","372.16"
"Deendayal Upadhyaya Government Hospital","Dungarpur","Kherwara Dungarpur  Sagwara","233.18"
"Dewal Hospital","Dungarpur","Kherwara Dungarpur  Sagwara SH10","112.29"
"Dhansham Clinic","Dungarpur","Kherwara Dungarpur  Sagwara","3889.59"
"Disha Hospital","Dungarpur","Ratalam Baswara Sagwara Dungarpur Kherwara Pindwara","40.42"
"Dr. Gaurav Yadav","Dungarpur","Ratalam Baswara Sagwara Dungarpur Kherwara Pindwara","480.54"
"Dr. Jafruddin Clinic","Dungarpur","Kherwara Dungarpur  Sagwara","347.44"
"Dr. Jayesh Gandhi Clinic","Dungarpur","Ratalam Baswara Sagwara Dungarpur Kherwara Pindwara","317.88"
"Dr. Santosh Yadav Orthopaedic Clinic","Dungarpur","Ratalam Baswara Sagwara Dungarpur Kherwara Pindwara","672.48"
"Dr. Sonakshi Skin Clinic","Dungarpur","Ratalam Baswara Sagwara Dungarpur Kherwara Pindwara","194.13"
"Government Hospital","Dungarpur","Kherwara Dungarpur  Sagwara","51.26"
"Government Hospital, Antri","Dungarpur","Ratalam Baswara Sagwara Dungarpur Kherwara Pindwara","521.77"
"Government Hospital, Bhiluda","Dungarpur","Kherwara Dungarpur  Sagwara","612.13"
"Hari Dev Joshi General Hospital","Dungarpur","Ratalam Baswara Sagwara Dungarpur Kherwara Pindwara","807.05"
"Homeopathy Hospital","Dungarpur","Ratalam Baswara Sagwara Dungarpur Kherwara Pindwara","752.71"
"Jeevan Jyoti Hospital","Dungarpur","Ratalam Baswara Sagwara Dungarpur Kherwara Pindwara","619.75"
"M M Patidar Hospital","Dungarpur","Kherwara Dungarpur  Sagwara","66.84"
"Mehta Hospital","Dungarpur","Kherwara Dungarpur  Sagwara","353.61"
"Mewar Hospital","Dungarpur","Ratalam Baswara Sagwara Dungarpur Kherwara Pindwara","126.44"
"Navjeevan Clinic","Dungarpur","Ratalam Baswara Sagwara Dungarpur Kherwara Pindwara","3494.51"
"Navneet Eye Care & Opticals","Dungarpur","Kherwara Dungarpur  Sagwara","112.06"
"New Swasthya Sadan","Dungarpur","Ratalam Baswara Sagwara Dungarpur Kherwara Pindwara","50.27"
"Shree Padmavati Eye Hospital","Dungarpur","Kherwara Dungarpur  Sagwara","21.00"
"Shri Hari Dev Joshi Genaral Hospital Dungarpur","Dungarpur","Ratalam Baswara Sagwara Dungarpur Kherwara Pindwara","777.56"
"Shri Ram Clinic","Dungarpur","Kherwara Dungarpur  Sagwara","26.61"
"Upasana Jeevan Raksha Hospital","Dungarpur","Ratalam Baswara Sagwara Dungarpur Kherwara Pindwara","67.44"
"Vardan Clinic","Dungarpur","Kherwara Dungarpur  Sagwara","200.88"
"Aachal Hospital","Ganganagar","Bikaner Sriganganagar road","1062.18"
"Aastha Kidney Hospital","Ganganagar","Bikaner Sriganganagar road","699.24"
"Adarsh Nursing Home","Ganganagar","Bikaner Sriganganagar road","368.29"
"Aditya Nursing Home & Gastro Centre","Ganganagar","Bikaner Sriganganagar road","511.30"
"Aggarwal Maternity and Nursing Home","Ganganagar","Bikaner Sriganganagar road","507.65"
"Bahl Hospital and Medical Research Centre","Ganganagar","Bikaner Sriganganagar road","624.92"
"Bikaner Sishu Hospital","Ganganagar","Bikaner Sriganganagar road","523.86"
"Dawar Eye Hospital","Ganganagar","Bikaner Sriganganagar road","1101.11"
"Divoj Hospital","Ganganagar","Bikaner Sriganganagar road","304.03"
"Dr. Ashok Garg Hospital","Ganganagar","Bikaner Sriganganagar road","508.67"
"Gangaram Bansal Superspeciality Hospital","Ganganagar","Bikaner Sriganganagar road","1025.69"
"Gaur Hospital","Ganganagar","Bikaner Sriganganagar road","865.66"
"Government Hospital","Ganganagar","Bikaner to Sri Ganganagar road","867.53"
"Government Hospital Sriganganagar","Ganganagar","Bikaner Sriganganagar road","73.11"
"Government Hospital, Manjhuwas","Ganganagar","Bikaner  Ganganagar Road","1817.25"
"Goyal Hospital and Diabetic Centre","Ganganagar","Delhi Alwar Shahpura Road","1696.57"
"Gupta Nursing Home, Ganganagar","Ganganagar","Bikaner Sriganganagar road","915.73"
"Jaipur Mother and Child Hospital","Ganganagar","Bikaner Sriganganagar road","28.38"
"Jindal Hospital","Ganganagar","Bikaner Sriganganagar road","787.63"
"Kaushik Nursing Home","Ganganagar","Bikaner Sriganganagar road","744.87"
"Kochar Hospital and Research Centre Pvt. Ltd","Ganganagar","Bikaner Sriganganagar road","1175.59"
"Lalgaria Hospital","Ganganagar","Bikaner Sriganganagar road","410.71"
"Periwal Nursing Home","Ganganagar","Bikaner Sriganganagar road","644.43"
"Prakash Charitable Hospital","Ganganagar","Bikaner Sriganganagar road","686.08"
"Shakuntala Nursing Home, Ganganagar","Ganganagar","Bikaner Sriganganagar road","456.80"
"Shree Govindam Hospital","Ganganagar","Bikaner Sriganganagar road","786.20"
"Shri Om Sai Multi Speciality Hospital","Ganganagar","Bikaner Sriganganagar road","1052.01"
"Sihag Hospital","Ganganagar","Bikaner Sriganganagar road","456.85"
"Sri Jagdamda Cha. Eye Hospital","Ganganagar","Bikaner Sriganganagar road","1133.77"
"Tantia General Hospital","Ganganagar","Bikaner Sriganganagar road","579.84"
"Tek Chand Sidana Memorial Psychiatric Hospital","Ganganagar","Bikaner Sriganganagar road","347.41"
"RGM HOSPITAL ,GGC","Gangapur City","Lalsot Gangapur Karauli Sarmathura Bari Dholpur","54.34"
"Bansal Nursing Home","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","2950.92"
"Batra Hospital","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","3536.02"
"Bombay Hospital","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","3247.93"
"Chandigarh Hospital","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","3114.51"
"Chawla Nursing Home","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","2958.31"
"Dhingra Hospital","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","3077.47"
"Dr. Ravi Trehan - Hanumangarh","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","2981.62"
"Garg Hospital & Maternity Home","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","2198.23"
"Government Hospital, Khotawali","Hanumangarh","DABWALI   TO KENCHIYA VIA HMH  PUCCA SARNA AND  GOLUWALA","52.34"
"Government Hospital, Makkasar","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","2568.72"
"Government Hospital, Pakkasaran","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","48.48"
"Gupta Eye Hospital, Hanumangarh","Hanumangarh","DABWALI TO KENCHIYA VIA SANGRIA HMH PUCCA SARNA and GOLUWALA","573.26"
"Jaipur Hospital","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","2985.22"
"Jaipur Hospital and Skin Care Centre","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","2925.31"
"Kashnia ENT Care Centre","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","1857.77"
"Mamta Hospital, Hanumangarh","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","2157.95"
"Minakshi Hospital and Maternity Centre","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","1951.77"
"Nagpal Eye and ENT Hospital","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","2885.43"
"Navratan Child Hospital","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","2962.74"
"P P M Hospital","Hanumangarh","DABWALI TO KENCHIYA VIA SANGRIA HMH PUCCA SARNA and GOLUWALA","29.61"
"Railway Hospital","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","2545.02"
"Rajkiya Chikitsalya, Hanumangarh","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","2058.35"
"Sharma Nursing Home","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","3242.64"
"Shivam Life Care","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","997.43"
"Theri Eye Hosptial, Hanumangarh","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","3015.50"
"Up Swasthya Kendra","Hanumangarh","DABWALI HAR BORDER TO KENCHIYA VIA HANUMANGARH PUCCA GLW SNG","1998.87"
"Vardhman Eye Hospital","Hanumangarh","DABWALI TO KENCHIYA VIA SANGRIA HMH PUCCA SARNA and GOLUWALA","457.02"
"Aalok Clinic and Research Centre","Jaipur","Jaipur-Jobalpur","2926.44"
"Aanch Hospital","Jaipur","Jaipur-Jobalpur","207.50"
"Aapno Health Clinic","Jaipur","Agra - Bharatpur - Dausa - Jaipur Road","1039.95"
"Aarogya Clinic","Jaipur","Jaipur-Jobalpur","2190.68"
"Aarogya Hospital","Jaipur","Delhi to Ajmer Expressway","43.53"
"Aarogya Hospital, Jaipur","Jaipur","Jaipur Ajmer road","1039.25"
"Aarti Zenana Hospital","Jaipur","Delhi Ahemdabad Road","1217.38"
"Aastha Clinic","Jaipur","Agra - Bharatpur - Dausa - Jaipur Road","836.35"
"Aastha Dama Hospital","Jaipur","Chandwaji to Jaipur","32.18"
"Aayur Clinic","Jaipur","Jaipur-Jobalpur","3602.98"
"Aayurved Clinic","Jaipur","Agra - Bharatpur - Dausa - Jaipur Road","1143.60"
"Abhi Clinic","Jaipur","Jaipur-Jobalpur","1932.35"
"Abhishek Hospital","Jaipur","Jaipur Ajmer road","626.38"
"Adarsh Clinic","Jaipur","Jaipur-Jobalpur","1151.81"
"Adarsh Hospital, Jaipur","Jaipur","Delhi Ahemdabad Road","889.67"
"Adinath ENT & General Hospital","Jaipur","Jaipur-Jobalpur","1660.54"
"Aditi General and Eye Hospital","Jaipur","Delhi Ahemdabad Road","607.45"
"Aditya Health Clinic","Jaipur","Agra - Bharatpur - Dausa - Jaipur Road","1153.11"
"Aditya Hospital, Jaipur","Jaipur","Jaipur-Jobalpur","441.66"
"Advance Hospital","Jaipur","Jaipur-Jobalpur","3160.09"
"Advanced Neurology and Superspeciality Hospital","Jaipur","Jaipur-Jobalpur","1556.56"
"Agarwal Hospital and Fertility Research Centre","Jaipur","Jaipur Ajmer road","502.22"
"Agarwal Hospital and Maternity Centre","Jaipur","Jaipur-Jobalpur","1864.42"
"Agrasen Hospital","Jaipur","Jaipur Ajmer road","1366.07"
"Agrasen Orthopaedic Hospital","Jaipur","Jaipur-Jobalpur","1756.13"
"Agrawal Child Clinic","Jaipur","Jaipur Ajmer road","933.46"
"Agrawal Clinic","Jaipur","Jaipur Ajmer road","830.42"
"Agrawal Heart and General Hospital ( Bagru )","Jaipur","Jaipur Ajmer road","348.65"
"Agrawal Hospital","Jaipur","Jaipur-Jobalpur","2948.13"
"Akhila Hospital","Jaipur","Agra - Bharatpur - Dausa - Jaipur Road","18.02"
"Akta Clinic","Jaipur","Jaipur-Jobalpur","116.84"
"Albina Clinic","Jaipur","Agra - Bharatpur - Dausa - Jaipur Road","100.79"
"Alex Ayush Ayurvedic Hub and Hospital","Jaipur","AGRA JAIPUR BIKANER","168.27"
"Ali Clinic & Doiagnostic Centre","Jaipur","Agra - Bharatpur - Dausa - Jaipur Road","1421.79"
"Alka Clinic Lab","Jaipur","Jaipur-Jobalpur","2474.19"
"Alok Clinic","Jaipur","Jaipur-Jobalpur","1107.02"
"Alok Nursing Home & Fracture Clinic","Jaipur","Agra - Bharatpur - Dausa - Jaipur Road","507.33"
"Aman Poly Clinic","Jaipur","Jaipur-Jobalpur","1127.14"
"Aman Polyclinic","Jaipur","Delhi Ahemdabad Road","530.41"
"Amar Jain Hospital","Jaipur","Agra - Bharatpur - Dausa - Jaipur Road","497.04"
"Amar Medical and Research Centre","Jaipur","Jaipur Ajmer road","2996.24"
"Amarnath Allergy And General Hospital","Jaipur","Jaipur-Jobalpur","328.50"
"Amba Clinic","Jaipur","Agra - Bharatpur - Dausa - Jaipur Road","81.64"
"Amodh Hospital","Jaipur","Agra - Bharatpur - Dausa - Jaipur Road","1212.90"
"Amrit Hospital","Jaipur","Jaipur-Jobalpur","1542.49"
"Amritam Heart Care","Jaipur","Jaipur-Jobalpur","1089.95"
"Anand Eye Hospital","Jaipur","Jaipur Ajmer road","741.41"
"Anand Maternity Hospital","Jaipur","Delhi Ahemdabad Road","1566.07"
"Anil Hospital","Jaipur","Agra - Bharatpur - Dausa - Jaipur Road","843.11"
"Anita Children's Hospital","Jaipur","Jaipur Ajmer road","348.41"
"Anita Maternity Home","Jaipur","Jaipur-Jobalpur","1140.95"
"Anjani Hospital","Jaipur","AGRA JAIPUR BIKANER","112.54"
"Ankit Clinic","Jaipur","Jaipur-Jobalpur","1432.04"
"Ansari Clinic","Jaipur","Delhi Ahemdabad Road","3089.07"
"Ansh Hospital","Jaipur","Jaipur-Jobalpur","3542.01"
"Anshu Hospital","Jaipur","Jaipur-Jobalpur","441.90"
"Anupam Eye Hospital","Jaipur","Jaipur-Jobalpur","251.79"
"Anurag Ayurveda Clinic","Jaipur","Jaipur Ajmer road","1258.54"
"Anurag Nursing Home, Mansarovar","Jaipur","Jaipur Ajmer road","3455.84"
